,collections,counts
0,000001,625
1,000002,625
2,000004,625
3,000005,625
4,000006,625
5,000007,625
6,000008,625
7,000009,625
8,000010,625
9,000011,625
10,000012,625
11,000014,625
12,000016,625
13,000017,625
14,000018,625
15,000019,625
16,000020,625
17,000021,625
18,000022,625
19,000023,625
20,000024,625
21,000025,625
22,000026,625
23,000027,625
24,000028,625
25,000029,625
26,000030,625
27,000031,625
28,000032,625
29,000033,625
30,000034,625
31,000035,625
32,000036,625
33,000037,625
34,000038,600
35,000039,625
36,000040,625
37,000042,625
38,000043,625
39,000045,625
40,000046,625
41,000048,625
42,000049,625
43,000050,625
44,000055,625
45,000056,625
46,000058,625
47,000059,625
48,000060,625
49,000061,625
50,000062,625
51,000063,625
52,000065,625
53,000066,625
54,000068,625
55,000069,625
56,000070,625
57,000078,625
58,000088,625
59,000089,625
60,000090,625
61,000096,625
62,000099,625
63,000100,625
64,000150,625
65,000151,625
66,000153,625
67,000155,625
68,000156,625
69,000157,625
70,000158,625
71,000159,625
72,000166,127
73,000301,625
74,000333,455
75,000338,625
76,000400,625
77,000401,625
78,000402,625
79,000403,600
80,000404,625
81,000407,625
82,000408,625
83,000409,625
84,000410,625
85,000411,625
86,000413,625
87,000415,625
88,000416,625
89,000417,625
90,000418,625
91,000419,625
92,000420,625
93,000421,625
94,000422,625
95,000423,625
96,000425,625
97,000426,625
98,000428,625
99,000429,625
100,000430,625
101,000488,625
102,000498,625
103,000501,625
104,000502,625
105,000503,625
106,000504,625
107,000505,625
108,000506,625
109,000507,625
110,000509,625
111,000510,625
112,000511,625
113,000513,625
114,000514,625
115,000516,625
116,000517,625
117,000518,625
118,000519,625
119,000520,625
120,000521,625
121,000523,625
122,000524,625
123,000525,625
124,000526,625
125,000528,625
126,000529,625
127,000530,625
128,000531,625
129,000532,625
130,000533,625
131,000534,625
132,000536,625
133,000537,625
134,000538,625
135,000539,625
136,000540,625
137,000541,625
138,000543,625
139,000544,625
140,000545,625
141,000546,625
142,000547,625
143,000548,625
144,000550,625
145,000551,625
146,000552,625
147,000553,625
148,000554,625
149,000555,625
150,000557,625
151,000558,625
152,000559,625
153,000560,625
154,000561,625
155,000563,625
156,000564,625
157,000565,625
158,000566,625
159,000567,625
160,000568,625
161,000570,625
162,000571,625
163,000572,625
164,000573,625
165,000576,625
166,000581,625
167,000582,625
168,000584,625
169,000585,625
170,000586,625
171,000587,625
172,000589,625
173,000590,625
174,000591,625
175,000592,625
176,000593,625
177,000594,607
178,000595,625
179,000596,625
180,000597,625
181,000598,625
182,000599,625
183,000600,625
184,000601,625
185,000603,625
186,000605,625
187,000606,625
188,000607,625
189,000608,625
190,000609,625
191,000610,625
192,000611,625
193,000612,625
194,000613,625
195,000615,625
196,000616,625
197,000617,625
198,000619,625
199,000620,625
200,000622,600
201,000623,625
202,000625,625
203,000626,625
204,000627,625
205,000628,625
206,000629,625
207,000630,625
208,000631,625
209,000632,625
210,000633,625
211,000635,625
212,000636,625
213,000637,625
214,000638,625
215,000639,625
216,000650,625
217,000651,625
218,000652,625
219,000655,625
220,000656,625
221,000657,625
222,000659,625
223,000661,625
224,000662,625
225,000663,625
226,000665,625
227,000666,625
228,000667,625
229,000668,625
230,000669,625
231,000670,600
232,000671,625
233,000672,552
234,000673,625
235,000676,625
236,000677,625
237,000678,625
238,000679,625
239,000680,625
240,000681,625
241,000682,625
242,000683,625
243,000685,625
244,000686,625
245,000687,625
246,000688,552
247,000690,625
248,000691,625
249,000692,625
250,000693,381
251,000695,625
252,000697,625
253,000698,625
254,000700,625
255,000701,625
256,000702,625
257,000703,625
258,000705,625
259,000707,625
260,000708,625
261,000709,625
262,000710,625
263,000711,625
264,000712,625
265,000713,625
266,000715,625
267,000716,625
268,000717,625
269,000718,625
270,000719,625
271,000720,625
272,000721,625
273,000722,625
274,000723,625
275,000725,625
276,000726,625
277,000727,625
278,000728,625
279,000729,625
280,000731,625
281,000732,625
282,000733,625
283,000735,625
284,000736,625
285,000737,625
286,000738,625
287,000739,625
288,000748,625
289,000750,625
290,000751,609
291,000752,625
292,000753,625
293,000755,625
294,000756,625
295,000757,600
296,000758,625
297,000759,625
298,000760,625
299,000761,625
300,000762,625
301,000766,625
302,000767,625
303,000768,625
304,000776,625
305,000777,625
306,000778,625
307,000779,625
308,000780,625
309,000782,625
310,000783,625
311,000785,625
312,000786,625
313,000788,625
314,000789,625
315,000790,625
316,000791,625
317,000792,625
318,000793,625
319,000795,625
320,000796,625
321,000797,625
322,000798,625
323,000799,625
324,000800,625
325,000801,625
326,000802,625
327,000803,625
328,000806,625
329,000807,625
330,000809,625
331,000810,625
332,000811,625
333,000812,625
334,000813,625
335,000815,625
336,000816,625
337,000818,625
338,000819,625
339,000820,625
340,000821,625
341,000822,625
342,000823,625
343,000825,625
344,000826,625
345,000828,625
346,000829,625
347,000830,625
348,000831,625
349,000833,625
350,000835,625
351,000836,625
352,000837,625
353,000838,625
354,000839,625
355,000848,625
356,000850,625
357,000851,625
358,000852,625
359,000856,625
360,000858,625
361,000859,625
362,000860,625
363,000861,625
364,000862,625
365,000863,625
366,000868,625
367,000869,625
368,000875,625
369,000876,625
370,000877,625
371,000878,625
372,000880,625
373,000881,625
374,000882,625
375,000883,625
376,000885,625
377,000886,625
378,000887,625
379,000888,625
380,000889,625
381,000890,625
382,000892,625
383,000893,625
384,000895,625
385,000897,625
386,000898,625
387,000899,625
388,000900,625
389,000901,625
390,000902,625
391,000903,625
392,000905,625
393,000906,625
394,000908,625
395,000909,625
396,000910,625
397,000911,625
398,000912,625
399,000913,625
400,000915,625
401,000916,625
402,000917,625
403,000918,625
404,000919,625
405,000920,625
406,000921,625
407,000922,625
408,000923,625
409,000925,625
410,000926,625
411,000927,625
412,000928,625
413,000929,625
414,000930,625
415,000931,625
416,000932,625
417,000933,625
418,000935,625
419,000936,625
420,000937,625
421,000938,625
422,000939,625
423,000948,625
424,000949,625
425,000950,625
426,000951,625
427,000952,625
428,000953,625
429,000955,625
430,000957,625
431,000958,625
432,000959,625
433,000960,625
434,000961,625
435,000962,625
436,000963,625
437,000965,625
438,000966,625
439,000967,625
440,000968,625
441,000969,625
442,000970,625
443,000971,625
444,000972,625
445,000973,625
446,000975,625
447,000976,625
448,000977,625
449,000978,625
450,000979,625
451,000980,625
452,000981,625
453,000982,625
454,000983,625
455,000985,625
456,000987,625
457,000988,625
458,000989,625
459,000990,625
460,000993,625
461,000995,625
462,000996,625
463,000997,625
464,000998,625
465,000999,625
466,001696,625
467,001896,625
468,002001,625
469,002002,625
470,002003,625
471,002004,625
472,002005,625
473,002006,625
474,002007,625
475,002008,625
476,002009,625
477,002010,625
478,002011,625
479,002012,625
480,002013,625
481,002014,625
482,002015,625
483,002016,625
484,002017,625
485,002018,625
486,002019,625
487,002020,625
488,002021,625
489,002022,625
490,002023,625
491,002024,625
492,002025,625
493,002026,625
494,002027,625
495,002028,625
496,002029,625
497,002030,625
498,002031,625
499,002032,625
500,002033,625
501,002034,625
502,002035,625
503,002036,625
504,002037,625
505,002038,625
506,002039,625
507,002040,625
508,002041,625
509,002042,625
510,002043,625
511,002044,625
512,002045,625
513,002046,625
514,002047,625
515,002048,625
516,002049,625
517,002050,625
518,002051,625
519,002052,625
520,002053,625
521,002054,625
522,002055,625
523,002056,625
524,002057,625
525,002058,625
526,002059,625
527,002060,625
528,002061,625
529,002062,625
530,002063,625
531,002064,625
532,002065,625
533,002066,625
534,002067,625
535,002068,625
536,002069,625
537,002070,625
538,002071,625
539,002072,625
540,002073,625
541,002074,625
542,002075,625
543,002076,625
544,002077,625
545,002078,625
546,002079,625
547,002080,625
548,002081,625
549,002082,625
550,002083,625
551,002084,625
552,002085,625
553,002086,625
554,002087,625
555,002088,625
556,002089,625
557,002090,625
558,002091,625
559,002092,625
560,002093,625
561,002094,625
562,002095,625
563,002096,625
564,002097,625
565,002098,625
566,002099,625
567,002100,625
568,002101,625
569,002102,625
570,002103,625
571,002104,625
572,002105,625
573,002106,625
574,002107,625
575,002108,625
576,002109,625
577,002110,625
578,002111,625
579,002112,625
580,002113,625
581,002114,625
582,002115,625
583,002116,625
584,002117,625
585,002118,625
586,002119,625
587,002120,625
588,002121,625
589,002122,625
590,002123,625
591,002124,625
592,002125,625
593,002126,625
594,002127,625
595,002128,625
596,002129,625
597,002130,625
598,002131,625
599,002132,625
600,002133,625
601,002134,625
602,002135,625
603,002136,625
604,002137,625
605,002138,625
606,002139,625
607,002140,625
608,002141,625
609,002142,625
610,002143,625
611,002144,625
612,002145,625
613,002146,625
614,002147,625
615,002148,625
616,002149,625
617,002150,625
618,002151,625
619,002152,625
620,002153,625
621,002154,625
622,002155,625
623,002156,625
624,002157,625
625,002158,625
626,002159,625
627,002160,625
628,002161,625
629,002162,625
630,002163,625
631,002164,625
632,002165,625
633,002166,625
634,002167,625
635,002168,625
636,002169,625
637,002170,625
638,002171,625
639,002172,625
640,002173,625
641,002174,625
642,002175,625
643,002176,625
644,002177,625
645,002178,625
646,002179,625
647,002180,625
648,002181,625
649,002182,625
650,002183,625
651,002184,625
652,002185,625
653,002186,625
654,002187,625
655,002188,625
656,002189,625
657,002190,625
658,002191,625
659,002192,625
660,002193,625
661,002194,625
662,002195,625
663,002196,625
664,002197,625
665,002198,625
666,002199,625
667,002200,625
668,002201,625
669,002202,625
670,002203,625
671,002204,625
672,002205,625
673,002206,625
674,002207,625
675,002208,625
676,002209,625
677,002210,625
678,002211,625
679,002212,625
680,002213,625
681,002214,625
682,002215,625
683,002216,625
684,002217,625
685,002218,625
686,002219,625
687,002220,625
688,002221,625
689,002222,625
690,002223,625
691,002224,625
692,002225,625
693,002226,625
694,002227,625
695,002228,625
696,002229,625
697,002230,625
698,002231,625
699,002232,625
700,002233,625
701,002234,625
702,002235,625
703,002236,625
704,002237,625
705,002238,625
706,002239,625
707,002240,625
708,002241,625
709,002242,625
710,002243,625
711,002244,625
712,002245,625
713,002246,625
714,002247,625
715,002248,625
716,002249,625
717,002250,625
718,002251,625
719,002252,625
720,002253,625
721,002254,625
722,002255,625
723,002256,625
724,002258,625
725,002259,625
726,002260,625
727,002261,625
728,002262,625
729,002263,625
730,002264,625
731,002265,625
732,002266,625
733,002267,625
734,002268,625
735,002269,625
736,002270,625
737,002271,625
738,002272,625
739,002273,625
740,002274,625
741,002275,625
742,002276,625
743,002277,625
744,002278,625
745,002279,625
746,002280,625
747,002281,625
748,002282,625
749,002283,625
750,002284,625
751,002285,625
752,002286,625
753,002287,625
754,002288,625
755,002289,625
756,002290,625
757,002291,625
758,002292,625
759,002293,625
760,002294,625
761,002295,625
762,002296,625
763,002297,625
764,002298,625
765,002299,625
766,002300,625
767,002301,625
768,002302,625
769,002303,625
770,002304,625
771,002305,625
772,002306,625
773,002307,625
774,002308,625
775,002309,625
776,002310,625
777,002311,625
778,002312,625
779,002313,625
780,002314,625
781,002315,625
782,002316,625
783,002317,625
784,002318,625
785,002319,625
786,002320,625
787,002321,625
788,002322,0
789,002323,625
790,002324,625
791,002325,625
792,002326,625
793,002327,625
794,002328,625
795,002329,625
796,002330,625
797,002331,625
798,002332,625
799,002333,625
800,002334,625
801,002335,625
802,002336,625
803,002337,625
804,002338,625
805,002339,625
806,002340,625
807,002341,625
808,002342,625
809,002343,625
