date,close,high,low,open,volume
2013/1/4,2524.409,2558.529,2498.892,2551.814,9798818200
2013/1/7,2535.985,2545.969,2511.603,2518.047,7516799300
2013/1/8,2525.33,2540.513,2502.49,2534.647,7183710000
2013/1/9,2526.126,2534.239,2504.299,2518.104,7023117000
2013/1/10,2530.569,2553.352,2513.729,2525.59,7108586200
2013/1/11,2483.23,2539.794,2473.696,2533.495,7423917600
2013/1/14,2577.725,2583.625,2473.998,2474.176,9355409100
2013/1/15,2595.856,2605.41,2576.919,2579.132,9862080500
2013/1/16,2577.092,2600.093,2540.521,2591.365,9353608400
2013/1/17,2552.758,2575.058,2539.674,2570.711,6991523900
2013/1/18,2595.439,2607.446,2553.451,2568.692,7794030300
2013/1/21,2610.898,2611.201,2582.652,2605.649,8413374200
2013/1/22,2596.898,2620.025,2578.181,2610.392,10576627500
2013/1/23,2607.456,2611.409,2576.362,2588.198,7573944400
2013/1/24,2582.755,2663.404,2564.206,2606.427,11127717200
2013/1/25,2571.674,2591.513,2567.107,2580.881,5848735900
2013/1/28,2651.863,2651.967,2577.267,2577.267,9127479000
2013/1/29,2675.866,2685.531,2646.154,2655.377,10104022900
2013/1/30,2688.711,2689.683,2662.062,2678.433,9987499000
2013/1/31,2686.882,2696.881,2671.33,2690.951,9674010100
2013/2/1,2743.324,2744.322,2671.274,2677.187,10387951500
2013/2/4,2748.028,2768.504,2731.08,2753.688,12793917900
2013/2/5,2771.675,2779.953,2725.362,2727.93,11613081900
2013/2/6,2775.844,2787.456,2765.743,2771.908,8277927100
2013/2/7,2759.87,2775.974,2722.874,2771.53,8997814200
2013/2/8,2771.725,2791.303,2747.946,2755.649,7742964400
2013/2/18,2737.471,2787.74,2731.506,2784.065,7643822700
2013/2/19,2685.606,2740.739,2674.339,2735.045,8062643100
2013/2/20,2702.635,2703.098,2665.231,2686.093,7001937700
2013/2/21,2610.549,2675.741,2584.758,2675.741,10065798400
2013/2/22,2596.604,2618.483,2591.146,2607.65,6020485200
2013/2/25,2604.96,2628.696,2590.787,2607.149,5316194200
2013/2/26,2567.595,2631.094,2564.672,2587.375,8000306500
2013/2/27,2594.677,2615.249,2569.38,2576.046,6322674300
2013/2/28,2673.327,2673.711,2593.997,2611.94,8692259500
2013/3/1,2668.836,2680.854,2626.995,2671.842,7334375300
2013/3/4,2545.715,2619.574,2528.694,2619.42,11061910300
2013/3/5,2622.807,2623.171,2541.766,2547.893,8966115200
2013/3/6,2650.202,2658.139,2620.431,2634.87,9582965200
2013/3/7,2619.479,2658.969,2592.867,2639.783,9408266600
2013/3/8,2606.927,2632.624,2601.961,2622.684,5942955700
2013/3/11,2592.372,2611.652,2574.172,2600.278,5094643600
2013/3/12,2555.615,2619.512,2530.251,2590.391,7193514100
2013/3/13,2527.486,2556.773,2515.058,2551.726,5643046000
