,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20200213,14.71,14.88,14.61,14.65,14.77,-0.11999999999999922,-0.8125,1013205.28,1491327.713
1,000001.SZ,20200212,14.79,14.82,14.6,14.77,14.79,-0.019999999999999574,-0.1352,1070503.21,1573229.042
2,000001.SZ,20200211,14.6,14.94,14.56,14.79,14.5,0.28999999999999915,2.0,1407507.44,2077194.138
3,000001.SZ,20200210,14.51,14.53,14.3,14.5,14.62,-0.11999999999999922,-0.8208,1339495.24,1931983.482
4,000001.SZ,20200207,14.6,14.69,14.41,14.62,14.77,-0.15000000000000036,-1.0156,924852.96,1345053.255
5,000001.SZ,20200206,14.81,14.87,14.51,14.77,14.63,0.1399999999999988,0.9569,1185815.72,1740107.625
6,000001.SZ,20200205,14.59,14.89,14.32,14.63,14.6,0.030000000000001137,0.2055,1491380.21,2177632.043
7,000001.SZ,20200204,14.05,14.66,14.02,14.6,13.99,0.6099999999999994,4.3603,1706172.07,2442932.842
8,000001.SZ,20200203,13.99,14.7,13.99,13.99,15.54,-1.549999999999999,-9.9743,2259194.83,3201454.164
9,000001.SZ,20200123,15.92,15.92,15.39,15.54,16.09,-0.5500000000000007,-3.4183,1100592.07,1723394.336
10,000001.SZ,20200122,15.92,16.16,15.71,16.09,16.0,0.08999999999999986,0.5625,719464.91,1150933.398
11,000001.SZ,20200121,16.34,16.34,15.93,16.0,16.45,-0.4499999999999993,-2.7356,896603.1,1442171.431
12,000001.SZ,20200120,16.43,16.61,16.35,16.45,16.39,0.05999999999999872,0.3661,746074.75,1226464.649
13,000001.SZ,20200117,16.38,16.55,16.35,16.39,16.33,0.060000000000002274,0.3674,605436.69,995909.007
14,000001.SZ,20200116,16.52,16.57,16.2,16.33,16.52,-0.19000000000000128,-1.1501,1028104.67,1678888.507
15,000001.SZ,20200115,16.79,16.86,16.45,16.52,16.76,-0.240000000000002,-1.432,859439.12,1424889.228
16,000001.SZ,20200114,16.99,17.27,16.76,16.76,16.99,-0.22999999999999687,-1.3537,1304493.66,2217608.852
17,000001.SZ,20200113,16.75,17.03,16.61,16.99,16.69,0.29999999999999716,1.7975,872133.36,1468271.683
18,000001.SZ,20200110,16.79,16.81,16.52,16.69,16.79,-0.09999999999999787,-0.5956,585548.45,975154.818
19,000001.SZ,20200109,16.81,16.93,16.53,16.79,16.66,0.129999999999999,0.7803,1031636.65,1725326.806
20,000001.SZ,20200108,17.0,17.05,16.63,16.66,17.15,-0.48999999999999844,-2.8571,847824.12,1423608.811
21,000001.SZ,20200107,17.13,17.28,16.95,17.15,17.07,0.0799999999999983,0.4687,728607.56,1247047.135
22,000001.SZ,20200106,17.01,17.34,16.91,17.07,17.18,-0.10999999999999943,-0.6403,862083.5,1477930.193
23,000001.SZ,20200103,16.94,17.31,16.92,17.18,16.87,0.3099999999999987,1.8376,1116194.81,1914495.474
24,000001.SZ,20200102,16.65,16.95,16.55,16.87,16.45,0.4200000000000017,2.5532,1530231.87,2571196.482
25,000001.SZ,20191231,16.57,16.63,16.31,16.45,16.57,-0.120000000000001,-0.7242,704442.25,1154704.348
26,000001.SZ,20191230,16.46,16.63,16.1,16.57,16.63,-0.05999999999999872,-0.3608,976970.31,1603152.786
27,000001.SZ,20191227,16.53,16.93,16.43,16.63,16.47,0.16000000000000014,0.9715,1042574.72,1741473.179
28,000001.SZ,20191226,16.34,16.48,16.32,16.47,16.3,0.16999999999999815,1.0429,372033.86,610381.757
29,000001.SZ,20191225,16.45,16.56,16.24,16.3,16.4,-0.09999999999999787,-0.6098,414917.98,679664.596
30,000001.SZ,20191224,16.23,16.5,16.23,16.4,16.24,0.16000000000000014,0.9852,459128.42,752351.618
31,000001.SZ,20191223,16.68,16.68,16.17,16.24,16.59,-0.3500000000000014,-2.1097,715792.72,1173372.08
32,000001.SZ,20191220,16.55,16.68,16.44,16.59,16.55,0.03999999999999915,0.2417,644478.38,1067869.779
33,000001.SZ,20191219,16.55,16.74,16.44,16.55,16.46,0.08999999999999986,0.5468,675536.76,1119925.969
34,000001.SZ,20191218,16.43,16.66,16.41,16.46,16.5,-0.03999999999999915,-0.2424,797091.33,1317608.543
35,000001.SZ,20191217,16.0,16.63,15.98,16.5,16.13,0.370000000000001,2.2939,1203104.9,1969891.323
36,000001.SZ,20191216,16.12,16.14,15.87,16.13,16.12,0.00999999999999801,0.062,787952.34,1262802.471
37,000001.SZ,20191213,15.85,16.12,15.77,16.12,15.6,0.5200000000000014,3.3333,1053103.81,1680707.282
38,000001.SZ,20191212,15.66,15.67,15.53,15.6,15.66,-0.0600000000000005,-0.3831,478998.82,747519.511
39,000001.SZ,20191211,15.38,15.68,15.3,15.66,15.33,0.33000000000000007,2.1526,871505.19,1351786.53
40,000001.SZ,20191210,15.36,15.38,15.25,15.33,15.41,-0.08000000000000007,-0.5191,556383.88,851377.532
41,000001.SZ,20191209,15.62,15.62,15.35,15.41,15.6,-0.1899999999999995,-1.2179,605992.89,935135.952
42,000001.SZ,20191206,15.47,15.72,15.46,15.6,15.43,0.16999999999999993,1.1017,712615.24,1109423.061
43,000001.SZ,20191205,15.35,15.48,15.3,15.43,15.31,0.11999999999999922,0.7838,557084.46,857682.575
44,000001.SZ,20191204,15.34,15.41,15.21,15.31,15.45,-0.1399999999999988,-0.9061,524545.27,802110.334
