,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600000.SH,20200213,10.82,10.88,10.76,10.76,10.86,-0.09999999999999964,-0.9208,226306.13,244794.981
1,600000.SH,20200212,10.84,10.88,10.76,10.86,10.86,0.0,0.0,263139.27,284693.716
2,600000.SH,20200211,10.82,10.95,10.78,10.86,10.77,0.08999999999999986,0.8357,348563.02,378583.345
3,600000.SH,20200210,10.76,10.84,10.71,10.77,10.86,-0.08999999999999986,-0.8287,340321.21,366391.17
4,600000.SH,20200207,10.73,10.91,10.67,10.86,10.79,0.07000000000000028,0.6487,318969.56,342581.621
5,600000.SH,20200206,10.81,10.86,10.65,10.79,10.7,0.08999999999999986,0.8411,380238.01,408101.901
6,600000.SH,20200205,10.69,10.78,10.58,10.7,10.66,0.03999999999999915,0.3752,450466.58,481639.081
7,600000.SH,20200204,10.51,10.74,10.48,10.66,10.47,0.1899999999999995,1.8147,667837.67,710434.836
8,600000.SH,20200203,10.22,10.69,10.22,10.47,11.35,-0.879999999999999,-7.7533,953673.82,997686.058
9,600000.SH,20200123,11.75,11.75,11.32,11.35,11.77,-0.41999999999999993,-3.5684,765347.96,879151.046
10,600000.SH,20200122,11.7,11.84,11.65,11.77,12.08,-0.3100000000000005,-2.5662,781335.56,917203.481
11,600000.SH,20200121,12.2,12.25,12.04,12.08,12.25,-0.16999999999999993,-1.3878,317874.74,384580.844
12,600000.SH,20200120,12.26,12.27,12.19,12.25,12.23,0.019999999999999574,0.1635,237346.09,290296.136
13,600000.SH,20200117,12.22,12.29,12.16,12.23,12.2,0.030000000000001137,0.2459,175931.11,215028.083
14,600000.SH,20200116,12.28,12.31,12.16,12.2,12.25,-0.05000000000000071,-0.4082,224548.76,274130.148
15,600000.SH,20200115,12.41,12.45,12.25,12.25,12.43,-0.17999999999999972,-1.4481,318972.17,392531.149
16,600000.SH,20200114,12.4,12.69,12.39,12.43,12.41,0.019999999999999574,0.1612,299945.61,374971.64
17,600000.SH,20200113,12.4,12.41,12.31,12.41,12.39,0.019999999999999574,0.1614,207155.66,255982.38
18,600000.SH,20200110,12.37,12.42,12.31,12.39,12.37,0.02000000000000135,0.1617,183212.52,226580.302
19,600000.SH,20200109,12.39,12.43,12.35,12.37,12.32,0.049999999999998934,0.4058,261514.48,324168.061
20,600000.SH,20200108,12.41,12.45,12.25,12.32,12.5,-0.17999999999999972,-1.44,352405.36,434980.266
21,600000.SH,20200107,12.51,12.6,12.46,12.5,12.46,0.03999999999999915,0.321,284214.82,355811.756
22,600000.SH,20200106,12.52,12.65,12.42,12.46,12.6,-0.1399999999999988,-1.1111,410011.93,514432.551
23,600000.SH,20200103,12.57,12.63,12.47,12.6,12.47,0.129999999999999,1.0425,380188.1,477053.357
24,600000.SH,20200102,12.47,12.64,12.45,12.47,12.37,0.10000000000000142,0.8084,516290.79,647446.166
25,600000.SH,20191231,12.32,12.38,12.21,12.37,12.34,0.02999999999999936,0.2431,319536.28,392736.236
26,600000.SH,20191230,12.27,12.36,12.12,12.34,12.32,0.019999999999999574,0.1623,410515.55,503090.483
27,600000.SH,20191227,12.25,12.43,12.25,12.32,12.29,0.030000000000001137,0.2441,279321.09,344832.499
28,600000.SH,20191226,12.26,12.32,12.23,12.29,12.24,0.049999999999998934,0.4085,157390.54,193083.033
29,600000.SH,20191225,12.29,12.29,12.2,12.24,12.28,-0.03999999999999915,-0.3257,136781.75,167407.896
30,600000.SH,20191224,12.21,12.29,12.2,12.28,12.2,0.08000000000000007,0.6557,216710.29,265496.459
31,600000.SH,20191223,12.46,12.46,12.17,12.2,12.42,-0.22000000000000064,-1.7713,370338.91,455979.055
32,600000.SH,20191220,12.41,12.55,12.38,12.42,12.41,0.009999999999999787,0.0806,401501.48,500592.355
33,600000.SH,20191219,12.4,12.5,12.38,12.41,12.4,0.009999999999999787,0.0806,237899.07,295686.647
34,600000.SH,20191218,12.36,12.5,12.34,12.4,12.39,0.009999999999999787,0.0807,345652.68,428827.229
35,600000.SH,20191217,12.17,12.51,12.1,12.39,12.13,0.2599999999999998,2.1434,574356.05,707895.681
36,600000.SH,20191216,12.12,12.15,12.0,12.13,12.12,0.010000000000001563,0.0825,379716.32,458170.277
37,600000.SH,20191213,11.98,12.12,11.94,12.12,11.9,0.21999999999999886,1.8487,595205.54,716034.787
38,600000.SH,20191212,11.99,11.99,11.88,11.9,11.98,-0.08000000000000007,-0.6678,270212.03,321917.933
39,600000.SH,20191211,11.88,11.99,11.85,11.98,11.86,0.120000000000001,1.0118,334090.45,398582.36
40,600000.SH,20191210,11.88,11.91,11.86,11.86,11.9,-0.040000000000000924,-0.3361,153246.4,181988.682
41,600000.SH,20191209,11.9,11.93,11.85,11.9,11.92,-0.019999999999999574,-0.1678,173492.58,206211.639
42,600000.SH,20191206,11.92,11.95,11.83,11.92,11.89,0.02999999999999936,0.2523,206544.38,245635.919
43,600000.SH,20191205,11.79,11.89,11.76,11.89,11.75,0.14000000000000057,1.1915,249761.3,295963.968
44,600000.SH,20191204,11.78,11.83,11.7,11.75,11.86,-0.10999999999999943,-0.9275,247346.62,290465.763
45,600000.SH,20191203,11.81,11.9,11.77,11.86,11.87,-0.009999999999999787,-0.0842,195578.65,231361.399
46,600000.SH,20191202,11.96,11.97,11.82,11.87,11.91,-0.040000000000000924,-0.3359,221630.2,263131.788
47,600000.SH,20191129,11.93,12.07,11.89,11.91,11.96,-0.05000000000000071,-0.4181,245669.35,293541.788
48,600000.SH,20191128,12.0,12.01,11.92,11.96,11.99,-0.02999999999999936,-0.2502,177972.25,212826.181
49,600000.SH,20191127,12.07,12.07,11.9,11.99,12.06,-0.07000000000000028,-0.5804,287039.56,343598.879
50,600000.SH,20191126,12.15,12.17,11.98,12.06,12.07,-0.009999999999999787,-0.0829,596332.64,719075.408
51,600000.SH,20191125,12.03,12.14,12.0,12.07,11.99,0.08000000000000007,0.6672,251532.56,303962.341
52,600000.SH,20191122,12.01,12.06,11.94,11.99,11.96,0.02999999999999936,0.2508,295310.99,354250.53
53,600000.SH,20191121,12.0,12.04,11.91,11.96,12.04,-0.0799999999999983,-0.6645,346171.75,414077.527
54,600000.SH,20191120,12.17,12.22,12.01,12.04,12.23,-0.19000000000000128,-1.5536,380920.59,460234.691
55,600000.SH,20191119,12.2,12.31,12.18,12.23,12.24,-0.009999999999999787,-0.0817,293708.03,359115.488
56,600000.SH,20191118,12.17,12.35,12.13,12.24,12.15,0.08999999999999986,0.7407,287965.29,352880.166
57,600000.SH,20191115,12.22,12.26,12.12,12.15,12.14,0.009999999999999787,0.0824,273242.99,332797.325
58,600000.SH,20191114,12.23,12.27,12.1,12.14,12.23,-0.08999999999999986,-0.7359,289436.47,351795.388
59,600000.SH,20191113,12.21,12.29,12.15,12.23,12.24,-0.009999999999999787,-0.0817,322749.79,394505.189
60,600000.SH,20191112,12.31,12.36,12.17,12.24,12.29,-0.049999999999998934,-0.4068,392393.95,480742.763
61,600000.SH,20191111,12.48,12.48,12.29,12.29,12.57,-0.28000000000000114,-2.2275,385942.67,477989.511
62,600000.SH,20191108,12.8,12.81,12.56,12.57,12.76,-0.1899999999999995,-1.489,488418.66,617218.205
63,600000.SH,20191107,12.95,12.95,12.71,12.76,12.92,-0.16000000000000014,-1.2384,462672.81,592408.771
64,600000.SH,20191106,12.95,13.1,12.86,12.92,12.95,-0.02999999999999936,-0.2317,460239.2,597016.896
